longitude,latitude,
79.04949,21.02114,
79.04966,21.02102,
79.04974,21.02099,
79.04984,21.02097,
79.04995,21.02097,
79.05017,21.02101,
79.05082,21.02119,
79.0512,21.02131,
79.05183,21.02149,
79.05201,21.02158,
79.05209,21.02165,
79.05216,21.02174,
79.0522,21.02183,
79.05222,21.02195,
79.05223,21.02207,
79.0522,21.02224,
79.05217,21.02232,
79.05211,21.0224,
79.05205,21.02247,
79.05197,21.02255,
79.0519,21.02259,
79.05188,21.02259,
79.0518,21.02262,
79.05092,21.02275,
79.05033,21.02289,
79.0436,21.02369,
79.04351,21.02369,
79.04341,21.02371,
79.04332,21.02372,
79.04324,21.02374,
79.04313,21.02375,
79.04287,21.0238,
79.04183,21.02391,
79.04141,21.02398,
79.04106,21.02405,
79.03916,21.02452,
79.03892,21.0246,
79.03862,21.02467,
79.03811,21.02481,
79.03797,21.02484,
79.03784,21.02488,
79.03437,21.02562,
79.03368,21.0258,
79.03345,21.02585,
79.03132,21.02638,
79.03101,21.02644,
79.02847,21.02724,
79.02799,21.02734,
79.02746,21.02742,
79.02705,21.02746,
79.02704,21.02747,
79.0213,21.02809,
79.02111,21.0281,
79.02111,21.02811,
79.01919,21.02829,
79.01453,21.02879,
79.01398,21.02889,
79.01307,21.02903,
79.00961,21.02968,
79.00933,21.02972,
79.00922,21.02973,
79.00911,21.02975,
79.00854,21.02981,
79.00815,21.02982,
79.00682,21.02989,
79.0053,21.03,
79.00471,21.03007,
79.00469,21.03007,
79.00428,21.03014,
79.00427,21.03014,
79.00331,21.03033,
79.00242,21.03053,
79.00236,21.03055,
78.99937,21.03122,
78.99859,21.03135,
78.99833,21.03136,
78.99787,21.03131,
78.99728,21.03122,
78.99679,21.03113,
78.9966,21.03111,
78.99613,21.03108,
78.99525,21.03109,
78.99481,21.03111,
78.99456,21.03111,
78.99448,21.0311,
78.99439,21.03108,
78.99431,21.03104,
78.99425,21.03102,
78.99419,21.03097,
78.99413,21.03093,
78.99408,21.03087,
78.99395,21.03076,
78.99392,21.03068,
78.99384,21.03054,
78.99379,21.03044,
78.99372,21.03034,
78.99361,21.03021,
78.99346,21.03007,
78.9934,21.03003,
78.99333,21.02992,
78.99325,21.02971,
78.99323,21.02961,
78.99323,21.02949,
78.99324,21.02942,
78.9933,21.02921,
78.99343,21.02889,
78.99406,21.02753,
78.99419,21.02729,
78.99431,21.02703,
78.99446,21.02674,
78.99462,21.02636,
78.99479,21.02592,
78.99481,21.02584,
78.99496,21.02541,
78.99509,21.0247,
78.99512,21.0243,
78.99512,21.02361,
78.99506,21.02246,
78.99505,21.02153,
